idbestellungen;kunden_idkunden;DATUM;AUSGELIEFERT
5525;27131;2007-04-03;1
5526;18570;2007-04-30;1
5527;21562;2007-06-25;0
5530;20327;2007-04-17;1
5531;26693;2007-06-05;0
5532;27412;2007-07-08;0
5534;24361;2007-05-20;1
5537;20716;2007-07-02;0
5539;23124;2007-06-02;0
5540;25955;2007-05-03;1
5548;25843;2007-04-13;1
5549;23314;2007-05-02;1
5552;21675;2007-06-24;0
5556;21674;2007-04-30;1
5570;19275;2007-06-14;0
5573;27268;2007-07-09;0
5576;20700;2007-06-13;0
5578;22839;2007-06-01;0
5582;24356;2007-06-13;0
5587;18954;2007-05-09;1
5593;27214;2007-05-23;0
5594;21485;2007-06-05;0
5596;28248;2007-05-22;0
5599;18436;2007-07-05;0
5602;26173;2007-06-02;0
5603;23608;2007-04-17;1
5605;25112;2007-04-09;1
5607;23044;2007-06-24;0
5614;24382;2007-05-29;0
5621;22668;2007-04-22;1
5626;18852;2007-06-08;0
5629;19957;2007-06-01;0
5631;19685;2007-04-26;1
5636;20404;2007-05-23;0
5646;18481;2007-04-23;1
5647;27602;2007-06-02;0
5650;23212;2007-05-10;1
5651;26413;2007-06-18;0
5652;21908;2007-04-11;1
5656;24999;2007-05-19;1
5661;26220;2007-04-28;1
5665;23972;2007-06-22;0
5670;20571;2007-05-02;1
5672;23119;2007-06-07;0
5673;27706;2007-07-06;0
5674;25941;2007-06-26;0
5675;27694;2007-07-04;0
5680;26358;2007-05-25;0
5681;19888;2007-04-08;1
5683;25274;2007-05-23;0
5684;25382;2007-04-23;1
5686;26415;2007-04-17;1
5688;24271;2007-06-02;0
5689;28261;2007-07-06;0
5692;22368;2007-05-25;0
5693;19516;2007-04-26;1
5695;18905;2007-04-09;1
5696;21987;2007-05-17;1
5702;19506;2007-07-05;0
5707;22839;2007-04-15;1
5712;28160;2007-05-30;0
5713;28486;2007-06-17;0
5714;18754;2007-04-27;1
5716;25686;2007-06-03;0
5717;20625;2007-07-08;0
5719;19462;2007-06-09;0
5720;26194;2007-06-07;0
5726;23353;2007-07-09;0
5728;25290;2007-07-03;0
5739;19253;2007-05-07;1
5742;27147;2007-05-10;1
5744;26383;2007-06-23;0
5747;22519;2007-06-16;0
5750;21857;2007-05-16;1
5753;21827;2007-05-27;0
5756;25097;2007-06-05;0
5761;28329;2007-06-08;0
5762;26186;2007-04-21;1
5763;24902;2007-06-26;0
5765;22878;2007-06-15;0
5767;22891;2007-04-20;1
5768;28286;2007-07-08;0
5773;26053;2007-05-03;1
5775;22618;2007-06-05;0
5777;27273;2007-07-04;0
5779;27736;2007-04-06;1
5786;23497;2007-04-10;1
5788;24539;2007-04-28;1
5789;22506;2007-06-08;0
5790;20246;2007-06-16;0
5802;22870;2007-06-17;0
5803;27351;2007-04-15;1
5811;26461;2007-06-11;0
5816;25488;2007-04-26;1
5819;28300;2007-05-29;0
5820;28019;2007-06-07;0
5821;19875;2007-07-02;0
5822;26990;2007-07-02;0
5825;25276;2007-05-09;1
5829;25822;2007-04-10;1
5831;28521;2007-05-16;1
5834;25964;2007-05-25;0
5842;26866;2007-05-09;1
5844;18305;2007-05-25;0
5845;22422;2007-04-06;1
5849;25895;2007-06-25;0
5852;19799;2007-07-09;0
5860;27850;2007-04-19;1
5862;25786;2007-04-15;1
5864;27436;2007-06-04;0
5867;21720;2007-06-02;0
5871;21360;2007-07-04;0
5875;19886;2007-05-26;0
5876;21646;2007-05-26;0
5881;21726;2007-06-13;0
5883;20957;2007-07-07;0
5885;27502;2007-07-07;0
5890;28528;2007-05-23;0
5901;24600;2007-06-22;0
5904;21915;2007-06-07;0
5905;21721;2007-04-28;1
5908;26772;2007-04-29;1
5911;27356;2007-06-28;0
5914;25823;2007-04-16;1
5916;26533;2007-05-09;1
5919;28571;2007-06-06;0
5920;24234;2007-04-26;1
5922;18621;2007-04-26;1
5936;19810;2007-06-02;0
5937;24377;2007-05-22;0
5938;27680;2007-05-01;1
5939;18296;2007-05-31;0
5940;18889;2007-04-29;1
5941;24551;2007-04-15;1
5943;18862;2007-05-22;0
5944;26542;2007-07-01;0
5949;27394;2007-04-22;1
5954;18390;2007-05-30;0
5958;27701;2007-05-04;1
5963;21960;2007-04-13;1
5966;19869;2007-06-29;0
5967;27489;2007-06-19;0
5968;24919;2007-05-06;1
5975;28320;2007-04-13;1
5976;24844;2007-06-01;0
5977;28396;2007-06-13;0
5980;25935;2007-07-03;0
5981;18542;2007-05-20;1
5984;23402;2007-06-04;0
5987;25707;2007-05-22;0
5989;23834;2007-05-05;1
5992;25314;2007-04-19;1
5993;20234;2007-06-22;0
5999;19961;2007-07-06;0
6001;18320;2007-05-18;1
6002;19319;2007-06-27;0
6003;20309;2007-05-23;0
6007;19427;2007-07-01;0
6009;18707;2007-05-19;1
6012;28302;2007-07-04;0
6015;26311;2007-04-08;1
6018;27196;2007-05-18;1
6021;22800;2007-05-09;1
6025;25617;2007-06-18;0
6029;21982;2007-05-03;1
6036;27860;2007-06-02;0
6038;19551;2007-05-15;1
6042;24971;2007-05-12;1
6043;22305;2007-06-24;0
6045;28068;2007-06-11;0
6046;18308;2007-04-12;1
6054;18408;2007-06-15;0
6066;21350;2007-05-03;1
6070;27088;2007-05-16;1
6071;22461;2007-06-30;0
6074;27487;2007-06-17;0
6076;26467;2007-07-06;0
6077;21448;2007-06-02;0
6078;18459;2007-05-12;1
6081;22772;2007-04-11;1
6086;23287;2007-05-22;0
6087;28485;2007-06-26;0
6088;21080;2007-06-30;0
6092;25398;2007-05-06;1
6105;20163;2007-06-25;0
6106;18720;2007-05-03;1
6112;28413;2007-05-17;1
6117;26376;2007-04-06;1
6118;28033;2007-04-23;1
6119;24923;2007-04-28;1
6121;21503;2007-05-16;1
6122;25010;2007-05-09;1
6123;22159;2007-07-01;0
6124;26761;2007-06-02;0
6126;25701;2007-05-26;0
6128;27221;2007-05-14;1
6136;21600;2007-04-07;1
6137;25193;2007-05-26;0
6141;19154;2007-04-19;1
6143;18622;2007-05-29;0
6144;27342;2007-04-26;1
6145;22652;2007-04-08;1
6147;22742;2007-04-09;1
6148;24572;2007-07-05;0
6153;21778;2007-05-09;1
6160;23099;2007-05-02;1
6164;23004;2007-04-24;1
6167;19116;2007-04-27;1
6172;23692;2007-04-13;1
6178;23454;2007-06-06;0
6183;22396;2007-04-23;1
6185;26607;2007-06-23;0
6186;19342;2007-06-30;0
6194;22009;2007-05-11;1
6198;24255;2007-05-06;1
6199;18281;2007-04-19;1
6201;19373;2007-04-06;1
6202;22481;2007-04-19;1
6203;22872;2007-07-02;0
6205;19977;2007-04-19;1
6211;26733;2007-06-02;0
6215;20141;2007-06-23;0
6216;18609;2007-06-29;0
6218;26367;2007-06-29;0
6219;25035;2007-05-10;1
6220;18356;2007-04-18;1
6221;25405;2007-06-22;0
6224;28367;2007-05-29;0
6226;27025;2007-06-02;0
6229;24194;2007-04-19;1
6231;26316;2007-05-20;1
6237;22172;2007-05-02;1
6242;24153;2007-06-28;0
6243;22817;2007-04-27;1
6250;21523;2007-05-29;0
6253;27858;2007-07-06;0
6254;28563;2007-04-03;1
6255;18873;2007-06-23;0
6258;23143;2007-05-05;1
6260;21589;2007-05-26;0
6263;19171;2007-05-25;0
6269;21279;2007-04-10;1
6271;25075;2007-05-30;0
6279;24492;2007-06-15;0
6289;26870;2007-04-09;1
6291;26992;2007-05-30;0
6292;27666;2007-07-06;0
6294;21504;2007-05-10;1
6296;24292;2007-04-19;1
6301;22089;2007-05-17;1
6302;22236;2007-06-19;0
6304;19482;2007-04-03;1
6305;25086;2007-07-09;0
6306;22903;2007-06-09;0
6309;22929;2007-06-23;0
6311;19135;2007-05-23;0
6313;27289;2007-05-30;0
6320;23088;2007-05-28;0
6323;18617;2007-04-07;1
6326;26046;2007-06-02;0
6327;20084;2007-06-02;0
6328;19045;2007-05-28;0
6331;24907;2007-05-31;0
6333;26389;2007-05-30;0
6336;22979;2007-07-01;0
6337;21432;2007-06-18;0
6338;25479;2007-05-24;0
6342;25825;2007-04-25;1
6345;18535;2007-04-19;1
6348;28205;2007-04-14;1
6351;23548;2007-07-01;0
6356;19674;2007-07-04;0
6358;28422;2007-04-21;1
6360;27678;2007-05-08;1
6365;21351;2007-04-30;1
6368;19348;2007-05-22;0
6377;20096;2007-06-28;0
6379;22350;2007-04-22;1
6380;24513;2007-05-24;0
6381;25668;2007-04-26;1
6382;20517;2007-05-20;1
6389;24439;2007-04-10;1
6391;19360;2007-04-20;1
6392;21647;2007-05-30;0
6393;18667;2007-05-18;1
6397;18985;2007-04-12;1
6398;26645;2007-06-21;0
6403;18473;2007-07-05;0
6405;25921;2007-06-24;0
6406;19644;2007-04-20;1
6409;27296;2007-04-11;1
6411;28215;2007-04-08;1
6412;22889;2007-06-25;0
6419;26517;2007-06-13;0
6422;23056;2007-05-08;1
6423;23547;2007-05-13;1
6424;22605;2007-04-18;1
6425;19949;2007-06-15;0
6429;25499;2007-04-05;1
6432;22089;2007-04-08;1
6433;21470;2007-07-07;0
6434;18343;2007-05-20;1
6435;20164;2007-06-09;0
6438;25370;2007-05-16;1
6440;24062;2007-06-30;0
6442;26175;2007-06-05;0
6443;19369;2007-04-13;1
6444;19525;2007-05-23;0
6446;25108;2007-05-04;1
6450;22136;2007-05-24;0
6451;24370;2007-04-26;1
6455;18542;2007-05-24;0
6458;24505;2007-06-18;0
6464;20875;2007-05-28;0
6469;19409;2007-06-23;0
6473;28177;2007-05-04;1
6480;23478;2007-05-14;1
6481;28000;2007-06-17;0
6483;26559;2007-04-02;1
6487;21961;2007-07-08;0
6488;18498;2007-04-19;1
6489;28438;2007-07-06;0
6494;22662;2007-04-03;1
6495;18292;2007-07-08;0
6496;25835;2007-04-19;1
6497;20151;2007-04-07;1
6498;27131;2007-05-25;0
6501;23689;2007-05-15;1
6502;27845;2007-04-13;1
6504;19165;2007-05-06;1
6508;26310;2007-04-26;1
6509;18992;2007-06-24;0
6514;19669;2007-05-11;1
6516;28265;2007-05-31;0
6527;28594;2007-05-16;1
6531;25053;2007-05-19;1
6534;24997;2007-04-29;1
6535;28427;2007-07-08;0
6539;18760;2007-04-03;1
6540;25774;2007-04-11;1
6542;24289;2007-06-14;0
6543;28143;2007-05-04;1
6544;26462;2007-07-06;0
6546;19144;2007-05-09;1
6548;19830;2007-04-22;1
6550;18664;2007-05-10;1
6551;20009;2007-04-23;1
6555;25894;2007-07-04;0
6568;21728;2007-04-29;1
6569;19880;2007-05-12;1
6572;27070;2007-05-01;1
6575;26695;2007-04-16;1
6578;18743;2007-05-29;0
6580;22896;2007-05-16;1
6583;23112;2007-07-09;0
6584;22774;2007-05-18;1
6585;24049;2007-05-27;0
6589;27741;2007-05-05;1
6598;24571;2007-04-29;1
6599;20901;2007-05-15;1
6602;23638;2007-07-01;0
6603;28588;2007-06-19;0
6604;28211;2007-04-29;1
6606;21576;2007-07-01;0
6609;19193;2007-07-03;0
6612;21174;2007-04-02;1
6615;24531;2007-04-13;1
6618;19373;2007-07-03;0
6620;26635;2007-07-09;0
6622;25643;2007-05-11;1
6623;22624;2007-07-04;0
6625;22591;2007-07-06;0
6627;25439;2007-04-18;1
6630;19902;2007-06-15;0
6633;26479;2007-04-15;1
6636;19629;2007-04-18;1
6638;23538;2007-06-11;0
6643;22003;2007-05-30;0
6644;18999;2007-06-06;0
6646;24978;2007-04-09;1
6648;18765;2007-04-07;1
6651;20521;2007-06-12;0
6652;20045;2007-05-12;1
6654;22904;2007-05-15;1
6655;18773;2007-05-18;1
6658;25006;2007-06-03;0
6661;24775;2007-06-15;0
6664;27929;2007-04-19;1
6667;23333;2007-06-26;0
6669;26826;2007-04-09;1
6671;24656;2007-04-07;1
6672;20010;2007-07-06;0
6675;24023;2007-05-08;1
6676;28452;2007-06-04;0
6680;26251;2007-06-28;0
6681;21608;2007-06-24;0
6683;20594;2007-05-27;0
6684;22162;2007-07-06;0
6685;28018;2007-04-05;1
6687;28347;2007-05-03;1
6691;18615;2007-04-21;1
6698;22711;2007-05-12;1
6703;20577;2007-07-08;0
6709;27518;2007-04-09;1
6710;18958;2007-06-22;0
6712;26026;2007-06-10;0
6719;28549;2007-04-16;1
6722;19758;2007-04-18;1
6724;26085;2007-04-14;1
6728;26713;2007-05-09;1
6729;27990;2007-07-05;0
6730;22062;2007-05-07;1
6731;18488;2007-05-18;1
6735;24606;2007-06-07;0
6740;27506;2007-04-29;1
6741;28377;2007-05-29;0
6744;21791;2007-06-19;0
6745;20443;2007-06-11;0
6746;21227;2007-05-20;1
6749;20539;2007-05-29;0
6751;21905;2007-07-04;0
6753;22800;2007-04-28;1
6755;19381;2007-06-06;0
6757;18842;2007-06-17;0
6758;23129;2007-06-25;0
6759;21154;2007-07-09;0
6760;27754;2007-05-26;0
6761;27058;2007-04-21;1
6766;28007;2007-06-24;0
6768;25272;2007-06-09;0
6772;24179;2007-04-27;1
6773;27303;2007-04-12;1
6776;23897;2007-05-28;0
6778;23727;2007-05-13;1
6780;22335;2007-04-27;1
6782;20817;2007-05-30;0
6789;21628;2007-04-02;1
6791;24320;2007-04-09;1
6792;20244;2007-04-29;1
6793;20637;2007-06-21;0
6798;27875;2007-07-01;0
6799;21320;2007-05-15;1
6800;21074;2007-06-27;0
6803;26512;2007-04-22;1
6804;20222;2007-07-01;0
6806;26364;2007-06-08;0
6808;21757;2007-05-11;1
6810;24122;2007-04-10;1
6811;24099;2007-05-21;0
6812;23753;2007-05-07;1
6814;27456;2007-06-14;0
6815;18981;2007-06-14;0
6822;23989;2007-06-07;0
6824;26594;2007-04-15;1
6837;22942;2007-05-10;1
6839;26250;2007-07-03;0
6842;22284;2007-06-12;0
6844;26144;2007-07-01;0
6845;18620;2007-04-13;1
6848;21819;2007-04-09;1
6849;21375;2007-06-27;0
6850;22844;2007-05-20;1
6853;22576;2007-06-02;0
6858;28556;2007-04-09;1
6861;22822;2007-04-26;1
6863;21162;2007-06-02;0
6867;21347;2007-05-08;1
6872;25026;2007-06-29;0
6875;23499;2007-04-03;1
6876;18956;2007-07-09;0
6877;21873;2007-04-03;1
6883;22847;2007-06-01;0
6887;21888;2007-04-03;1
6888;20809;2007-05-04;1
6890;24656;2007-06-02;0
6891;27447;2007-07-09;0
6892;23024;2007-05-03;1
6893;27640;2007-05-26;0
6894;24505;2007-05-12;1
6898;22903;2007-04-27;1
6899;19665;2007-07-09;0
6902;27114;2007-07-02;0
6908;19708;2007-04-07;1
6911;22248;2007-05-17;1
6912;25660;2007-04-30;1
6913;20583;2007-04-07;1
6915;21380;2007-04-13;1
6917;20643;2007-06-09;0
6920;23478;2007-06-26;0
6923;28183;2007-05-22;0
6924;19937;2007-04-02;1
6927;26023;2007-05-06;1
6929;23260;2007-04-08;1
6930;22128;2007-05-27;0
6932;27608;2007-06-16;0
6934;26263;2007-06-17;0
6935;24849;2007-05-23;0
6938;18483;2007-05-14;1
6939;24118;2007-04-03;1
6950;24421;2007-06-01;0
6953;19879;2007-04-27;1
6954;24825;2007-04-15;1
6955;23963;2007-05-10;1
6957;27569;2007-05-12;1
6960;21994;2007-05-09;1
6962;25232;2007-06-20;0
6963;25085;2007-07-09;0
6964;21883;2007-04-10;1
6966;23278;2007-06-10;0
6968;22957;2007-04-29;1
6973;19294;2007-05-03;1
6977;23741;2007-05-07;1
6984;27476;2007-05-16;1
6988;18923;2007-06-04;0
6992;18568;2007-05-20;1
6995;23129;2007-04-04;1
7001;19874;2007-04-21;1
7004;20910;2007-06-05;0
7007;24329;2007-05-15;1
7013;25674;2007-05-30;0
7014;27021;2007-05-23;0
7016;25210;2007-06-16;0
7017;21587;2007-04-17;1
7018;26247;2007-05-25;0
7020;26107;2007-04-12;1
7022;20266;2007-06-26;0
7023;20656;2007-06-28;0
7024;26415;2007-06-10;0
7025;27896;2007-05-28;0
7027;27113;2007-05-06;1
7033;26698;2007-04-29;1
7035;25179;2007-06-19;0
7042;18546;2007-04-23;1
7044;19818;2007-06-29;0
7046;25626;2007-07-03;0
7047;21532;2007-06-29;0
7049;23879;2007-06-29;0
7050;26557;2007-04-28;1
7051;18730;2007-05-06;1
7055;20856;2007-04-27;1
7056;28246;2007-05-04;1
7059;21652;2007-04-10;1
7060;27056;2007-04-21;1
7070;28533;2007-04-11;1
7075;18951;2007-05-11;1
7076;25640;2007-07-07;0
7079;21101;2007-05-15;1
7081;25142;2007-05-28;0
7082;21813;2007-07-04;0
7083;21927;2007-06-19;0
7086;27624;2007-05-22;0
7090;25570;2007-05-17;1
7091;19522;2007-05-26;0
7093;18359;2007-06-30;0
7095;25466;2007-04-18;1
7096;28634;2007-07-05;0
7104;23984;2007-06-20;0
7107;21536;2007-06-08;0
7108;28143;2007-05-04;1
7109;27119;2007-05-20;1
7110;23853;2007-04-30;1
7114;19381;2007-05-16;1
7119;21300;2007-06-24;0
7121;20818;2007-06-12;0
7123;27006;2007-04-08;1
7127;20493;2007-04-27;1
7130;18954;2007-05-16;1
7135;21829;2007-05-28;0
7136;19523;2007-06-26;0
7137;18354;2007-04-27;1
7138;26581;2007-07-09;0
7139;27848;2007-04-11;1
7144;22328;2007-06-24;0
7147;24118;2007-05-27;0
7148;27615;2007-05-16;1
7158;27186;2007-05-13;1
7162;18915;2007-05-25;0
7163;21408;2007-05-22;0
7168;22760;2007-06-08;0
7169;26190;2007-06-28;0
7171;25838;2007-07-03;0
7175;27573;2007-04-24;1
7177;25133;2007-05-29;0
7179;25261;2007-05-04;1
7182;21515;2007-06-20;0
7183;20569;2007-04-19;1
7184;25461;2007-06-23;0
7187;25849;2007-05-31;0
7190;20030;2007-07-07;0
7192;19806;2007-06-24;0
7194;27479;2007-05-31;0
7200;27397;2007-06-10;0
7204;28299;2007-04-22;1
7206;27472;2007-04-03;1
7208;22799;2007-05-07;1
7216;23783;2007-04-14;1
7217;26984;2007-05-08;1
7218;24584;2007-06-08;0
7220;25476;2007-04-30;1
7222;27355;2007-04-13;1
7223;18781;2007-06-10;0
7225;27394;2007-05-24;0
7229;28127;2007-06-13;0
7231;24269;2007-07-06;0
7232;22514;2007-06-11;0
7234;26501;2007-06-02;0
7237;20090;2007-04-25;1
7238;20907;2007-07-06;0
7243;19672;2007-04-29;1
7250;21749;2007-05-18;1
7252;20262;2007-07-04;0
7253;27284;2007-05-01;1
7254;18985;2007-05-08;1
7258;23902;2007-06-05;0
7261;23152;2007-06-19;0
7263;23310;2007-06-02;0
7274;27253;2007-04-14;1
7275;22096;2007-04-02;1
7279;20072;2007-07-03;0
7285;22936;2007-04-05;1
7287;23868;2007-05-13;1
7288;27146;2007-04-20;1
7290;26803;2007-04-29;1
7292;24826;2007-05-29;0
7293;20002;2007-04-30;1
7296;28288;2007-06-04;0
7298;19586;2007-04-17;1
7299;26985;2007-05-10;1
7301;24621;2007-07-07;0
7303;21915;2007-05-31;0
7309;25526;2007-05-08;1
7311;24891;2007-04-04;1
7312;24419;2007-06-09;0
7315;18529;2007-05-30;0
7316;20223;2007-04-19;1
7323;21280;2007-07-01;0
7325;27811;2007-06-25;0
7330;22446;2007-05-08;1
7335;21710;2007-06-13;0
7341;24218;2007-07-06;0
7342;23837;2007-04-25;1
7347;20995;2007-06-26;0
7350;19258;2007-05-19;1
7352;20084;2007-04-28;1
7354;25993;2007-05-31;0
7357;21177;2007-05-08;1
7361;25314;2007-05-11;1
7369;18776;2007-04-26;1
7373;28609;2007-06-07;0
7374;22878;2007-05-28;0
7376;20997;2007-06-03;0
7380;21576;2007-04-09;1
7384;25790;2007-07-09;0
7388;19730;2007-05-21;0
7392;26322;2007-04-14;1
7393;22201;2007-05-23;0
7396;21554;2007-07-03;0
7398;27179;2007-06-23;0
7400;22394;2007-06-29;0
7401;27538;2007-04-20;1
7407;20112;2007-05-31;0
7408;19557;2007-05-20;1
7409;20580;2007-06-17;0
7410;23381;2007-04-18;1
7411;24465;2007-05-18;1
7414;19760;2007-05-12;1
7415;24042;2007-06-25;0
7416;18755;2007-05-30;0
7419;23324;2007-07-06;0
7420;24129;2007-05-15;1
7428;22201;2007-04-29;1
7435;22676;2007-06-29;0
7443;27787;2007-06-12;0
7447;22393;2007-06-12;0
7450;24754;2007-05-24;0
7452;25112;2007-06-22;0
7457;19271;2007-05-12;1
7459;24124;2007-07-04;0
7460;24435;2007-04-30;1
7461;20306;2007-04-26;1
7462;26548;2007-05-04;1
7467;19125;2007-04-27;1
7468;18286;2007-06-22;0
7469;25721;2007-05-23;0
7472;24116;2007-04-25;1
7473;26638;2007-04-06;1
7474;21010;2007-07-05;0
7476;21836;2007-06-04;0
7479;18649;2007-06-28;0
7481;19133;2007-05-02;1
7489;25741;2007-05-15;1
7491;19215;2007-06-01;0
7493;22116;2007-04-10;1
7494;21307;2007-05-10;1
7496;20054;2007-05-27;0
7498;19704;2007-06-23;0
7499;20964;2007-04-22;1
7504;25448;2007-06-11;0
7505;23179;2007-06-08;0
7507;27111;2007-06-18;0
7509;27651;2007-07-06;0
7510;23979;2007-05-21;0
7511;22843;2007-06-12;0
7513;21524;2007-05-06;1
7514;23922;2007-05-22;0
7518;28297;2007-04-11;1
7521;26866;2007-05-03;1
7523;21183;2007-05-10;1
7525;23616;2007-04-24;1
7526;24567;2007-05-04;1
7531;21368;2007-05-27;0
7532;26025;2007-05-24;0
7540;19667;2007-06-18;0
7542;28347;2007-04-24;1
7548;26831;2007-05-28;0
7554;19945;2007-05-13;1
7558;19652;2007-06-26;0
7560;27250;2007-05-07;1
7562;21780;2007-04-14;1
7566;25456;2007-04-21;1
7567;23483;2007-04-19;1
7570;18914;2007-05-28;0
7576;27157;2007-04-11;1
7577;27112;2007-04-12;1
7578;19421;2007-05-17;1
7579;25807;2007-06-05;0
7586;20560;2007-05-29;0
7588;24743;2007-04-10;1
7594;18737;2007-06-29;0
7596;21328;2007-05-09;1
7597;27230;2007-05-23;0
7598;26552;2007-06-02;0
7599;27789;2007-07-08;0
7600;20355;2007-06-27;0
7604;25729;2007-06-23;0
7607;18498;2007-04-15;1
7612;20778;2007-04-06;1
7613;22482;2007-04-23;1
7618;21699;2007-06-11;0
7622;27378;2007-04-10;1
7628;20849;2007-07-05;0
7630;22496;2007-07-01;0
7631;28565;2007-05-29;0
7633;20270;2007-05-18;1
7638;20873;2007-05-13;1
7643;19984;2007-07-06;0
7644;21118;2007-04-18;1
7647;21753;2007-04-02;1
7648;26020;2007-05-07;1
7653;23692;2007-06-08;0
7657;24329;2007-05-23;0
7662;26287;2007-04-19;1
7663;26892;2007-06-29;0
7671;20685;2007-05-17;1
7674;25193;2007-05-01;1
7679;26345;2007-06-10;0
7681;21648;2007-04-27;1
7682;19663;2007-06-08;0
7686;23034;2007-06-17;0
7692;26751;2007-04-17;1
7694;21650;2007-06-24;0
7695;19611;2007-04-30;1
7700;25093;2007-06-18;0
7704;25464;2007-05-14;1
7707;19941;2007-05-10;1
7708;27137;2007-05-09;1
7710;26611;2007-05-01;1
7713;19318;2007-05-08;1
7715;21448;2007-04-20;1
7716;24306;2007-06-07;0
7718;24020;2007-05-04;1
7722;25976;2007-06-14;0
7724;26262;2007-06-12;0
7725;21824;2007-06-25;0
7726;22571;2007-05-02;1
7728;21215;2007-05-29;0
7731;26432;2007-05-27;0
7732;26949;2007-05-10;1
7735;21947;2007-05-24;0
7738;20727;2007-06-23;0
7739;22072;2007-04-23;1
7740;27693;2007-05-08;1
7743;23335;2007-04-16;1
7750;23942;2007-06-02;0
7751;24317;2007-05-05;1
7754;23408;2007-07-04;0
7755;24481;2007-06-17;0
7762;27364;2007-06-21;0
7763;21555;2007-05-08;1
7776;22244;2007-05-29;0
7782;25186;2007-05-05;1
7783;21013;2007-07-02;0
7787;23783;2007-05-15;1
7792;20585;2007-07-02;0
7795;22752;2007-05-26;0
7798;19079;2007-04-12;1
7800;27997;2007-04-26;1
7801;26504;2007-05-04;1
7803;20233;2007-04-06;1
7804;24316;2007-04-18;1
7808;24943;2007-05-23;0
7813;25809;2007-06-08;0
7819;24357;2007-06-12;0
7822;25241;2007-04-20;1
7826;25365;2007-06-20;0
7827;28194;2007-06-23;0
7828;24019;2007-07-05;0
7834;18515;2007-04-11;1
7835;20341;2007-04-10;1
7836;25769;2007-04-17;1
7838;25335;2007-06-15;0
7842;27478;2007-07-01;0
7843;27259;2007-05-02;1
7845;26272;2007-04-08;1
7846;27219;2007-04-27;1
7847;23414;2007-04-26;1
7851;26654;2007-06-09;0
7853;23360;2007-05-10;1
7859;20216;2007-05-24;0
7865;22720;2007-06-06;0
7866;27274;2007-05-15;1
7869;22367;2007-04-09;1
7874;23493;2007-06-04;0
7877;26619;2007-06-27;0
7882;25179;2007-06-13;0
7884;27025;2007-06-20;0
7888;27138;2007-06-30;0
7890;19078;2007-07-04;0
7891;20419;2007-04-13;1
7894;22383;2007-05-13;1
7895;21385;2007-06-06;0
7898;25250;2007-05-18;1
7900;27636;2007-06-02;0
7907;23820;2007-05-31;0
7908;28504;2007-06-14;0
7909;26382;2007-05-29;0
7910;27711;2007-06-16;0
7912;24503;2007-06-08;0
7917;27617;2007-05-17;1
7919;20148;2007-06-17;0
7922;19337;2007-04-13;1
7931;28398;2007-05-22;0
7935;24775;2007-04-15;1
7940;22136;2007-05-23;0
7946;24553;2007-05-14;1
7948;19060;2007-04-09;1
7954;20351;2007-04-09;1
7956;18682;2007-04-14;1
7959;20143;2007-07-07;0
7960;25213;2007-06-20;0
7963;26395;2007-06-15;0
7964;21940;2007-06-06;0
7965;27951;2007-04-26;1
7967;24108;2007-06-01;0
7969;18559;2007-04-03;1
7970;22120;2007-06-04;0
7971;24321;2007-07-09;0
7973;26343;2007-07-02;0
7974;26649;2007-04-26;1
7976;20822;2007-07-07;0
7977;18581;2007-06-20;0
7978;26206;2007-04-26;1
7983;28090;2007-04-18;1
7984;20937;2007-04-03;1
7985;20104;2007-04-23;1
7986;26926;2007-04-10;1
7987;24905;2007-06-11;0
7989;18538;2007-06-26;0
7993;23355;2007-04-14;1
7994;19529;2007-04-12;1
7997;19854;2007-06-01;0
8004;20949;2007-04-26;1
8010;25656;2007-05-02;1
8013;18503;2007-05-16;1
8015;19477;2007-05-07;1
8016;26993;2007-06-22;0
8025;20877;2007-05-09;1
8033;20193;2007-06-10;0
8036;27144;2007-04-12;1
8040;19886;2007-06-28;0
8041;23158;2007-05-29;0
8043;24184;2007-04-30;1
8044;21519;2007-05-26;0
8047;20031;2007-05-06;1
8048;18752;2007-07-08;0
8051;18380;2007-07-02;0
8057;24386;2007-06-30;0
8060;28339;2007-06-18;0
8062;25591;2007-06-08;0
8063;18747;2007-04-09;1
8065;24689;2007-07-03;0
8067;24101;2007-06-07;0
8070;20971;2007-04-27;1
8073;27284;2007-06-11;0
8077;19880;2007-05-03;1
8078;18600;2007-06-28;0
8081;23032;2007-06-25;0
8082;27924;2007-04-27;1
8089;22644;2007-07-03;0
8092;25577;2007-06-10;0
8096;26205;2007-06-29;0
8097;27706;2007-04-21;1
8099;25467;2007-06-01;0
8101;18762;2007-04-23;1
8105;26570;2007-07-07;0
8108;23667;2007-06-06;0
8109;27122;2007-06-19;0
8110;20412;2007-06-22;0
8111;22414;2007-06-30;0
8114;22058;2007-05-09;1
8117;18829;2007-06-02;0
8123;22250;2007-06-29;0
8127;24909;2007-05-12;1
8128;20174;2007-05-17;1
8133;21770;2007-04-28;1
8136;19258;2007-05-04;1
8137;27318;2007-05-11;1
8138;27681;2007-05-28;0
8141;28095;2007-05-06;1
8146;25610;2007-04-20;1
8150;26174;2007-07-03;0
8161;18768;2007-04-06;1
8162;24215;2007-06-09;0
8163;22147;2007-06-28;0
8166;20572;2007-04-21;1
8168;20743;2007-06-28;0
8172;19785;2007-04-06;1
8177;20812;2007-06-21;0
8178;20018;2007-06-19;0
8180;21241;2007-06-27;0
8183;18371;2007-04-17;1
