idbestellpositionen;bestellungen_idbestellungen;artikel_idartikel;anzahl
13260;7598;4;1
13264;7600;7;2
13268;1869;1;2
13270;7604;5;3
13273;448;1;3
13278;1585;1;1
13284;7612;4;1
13290;1619;1;3
13292;1860;1;2
13296;1899;1;1
13301;7622;4;2
13307;1580;1;3
13309;1103;1;3
13311;7628;5;1
13314;7630;4;3
13315;7630;7;3
13317;1718;1;1
13319;1528;1;2
13330;1585;1;2
13336;1938;1;1
13337;1999;1;2
13345;7648;5;2
13350;1463;1;1
13358;2072;1;3
13360;734;1;3
13363;1644;1;3
13364;1198;1;2
13371;1591;1;2
13373;1842;1;1
13377;495;1;2
13381;1200;1;2
13384;319;1;1
13385;981;1;1
13389;7674;5;2
13395;1314;1;2
13397;1031;1;3
13398;1714;1;2
13401;556;1;2
13403;7682;4;1
13404;717;1;2
13407;1349;1;1
13410;7686;4;1
13415;1888;1;2
13418;1671;1;2
13420;7692;5;1
13421;996;1;3
13422;1765;1;1
13425;7695;7;1
13426;1883;1;3
13431;875;1;3
13434;7700;7;1
13439;1987;1;2
13443;1113;1;1
13445;1189;1;2
13446;540;1;3
13447;7708;4;2
13451;7710;7;1
13455;1899;1;2
13459;7715;7;1
13461;7716;4;3
13464;7718;5;1
13474;7724;5;1
13476;7725;7;1
13477;1914;1;1
13478;7726;5;2
13481;7728;4;1
13486;401;1;1
13488;7732;4;2
13490;917;1;2
13493;7735;7;1
13496;1058;1;2
13500;2084;1;3
13502;7740;7;3
13504;630;1;3
13506;1158;1;2
13507;954;1;1
13519;7750;7;3
13521;328;1;1
13525;7754;5;1
13526;2027;1;1
13527;7755;7;2
13530;1120;1;1
13531;201;1;1
13534;1978;1;1
13537;1314;1;3
13538;1006;1;3
13539;7762;5;3
13540;966;1;2
13550;319;1;2
13554;1297;1;3
13563;7776;4;3
13564;1126;1;2
13565;1888;1;3
13573;7782;5;2
13574;760;1;3
13581;1506;1;2
13584;373;1;3
13585;1754;1;2
13590;7792;5;3
13591;972;1;2
13594;1321;1;3
13595;7795;7;3
13596;1085;1;1
13598;1920;1;2
13600;7798;4;3
13603;7800;4;3
13604;7800;7;2
13606;1490;1;2
13608;1571;1;1
13610;7804;5;2
13617;7808;4;2
13619;630;1;3
13630;476;1;1
13633;1102;1;2
13636;716;1;2
13639;771;1;3
13643;907;1;2
13645;1817;1;1
13648;7826;4;1
13651;7828;4;2
13652;2141;1;3
13653;445;1;2
13661;7834;4;3
13663;7835;7;3
13665;7836;4;3
13666;2036;1;3
13668;7838;5;3
13674;633;1;3
13679;1684;1;1
13680;7845;7;3
13682;7846;4;3
13691;2072;1;3
13693;1979;1;1
13696;1714;1;3
13698;1154;1;3
13708;419;1;2
13710;1627;1;3
13714;7865;7;1
13721;2126;1;1
13729;7874;5;1
13730;1454;1;3
13732;919;1;2
13741;269;1;3
13742;1120;1;3
13743;7882;5;3
13744;590;1;3
13745;633;1;2
13747;1289;1;3
13754;952;1;3
13756;7890;4;1
13757;7890;7;2
13758;646;1;2
13761;363;1;2
13763;7894;5;2
13764;941;1;2
13765;7895;7;3
13768;221;1;1
13769;1763;1;2
13770;7898;5;2
13771;1673;1;3
13773;7900;5;2
13774;7900;7;3
13776;208;1;1
13787;7908;5;1
13791;7910;7;1
13792;1985;1;3
13794;7912;4;1
13802;1204;1;1
13811;7922;5;3
13812;413;1;2
13813;1314;1;3
13819;1546;1;1
13823;1973;1;1
13833;7935;7;2
13840;1064;1;3
13841;7940;5;3
13842;7940;7;1
13847;1814;1;2
13851;1119;1;3
13855;7948;5;3
13857;2134;1;1
13861;1847;1;2
13863;393;1;2
13865;7954;4;2
13869;7956;5;2
13873;1362;1;3
13876;7960;7;2
13877;622;1;1
13882;7964;5;3
13884;7965;7;3
13885;1292;1;3
13892;7970;4;3
13893;7970;7;2
13898;1530;1;2
13899;7974;5;3
13902;580;1;2
13904;925;1;2
13905;1648;1;3
13906;7978;5;1
13908;462;1;3
13918;7985;7;3
13920;7986;4;2
13921;1497;1;2
13925;951;1;1
13928;788;1;1
13931;966;1;3
13933;7994;4;2
13934;1874;1;1
13942;3396;1;3
13945;1042;1;2
13949;3750;1;2
13951;3976;1;2
13958;1759;1;1
13965;2585;1;2
13972;236;1;1
13975;934;1;1
13980;3287;1;2
13989;1912;1;3
13992;844;1;1
13997;2790;1;1
13999;931;1;2
14000;785;1;2
14009;1210;1;1
14010;3323;1;3
14013;1289;1;2
14016;1204;1;1
14024;481;1;1
14031;3200;1;3
14038;3605;1;1
14048;716;1;1
14050;1059;1;1
14051;1694;1;3
14055;2756;1;3
14060;3876;1;1
14061;1073;1;2
14064;572;1;2
14067;580;1;1
14070;3693;1;1
14075;2538;1;2
14082;977;1;2
14085;1952;1;3
14089;3429;1;3
14092;2647;1;1
14094;1150;1;3
14095;3121;1;2
14098;3215;1;1
14102;2284;1;1
14132;1143;1;1
14135;1190;1;1
14143;2559;1;2
14152;3166;1;2
14157;3156;1;3
14163;2478;1;2
14166;3109;1;2
14174;3905;1;2
14179;1073;1;1
14180;941;1;2
14184;284;1;2
14189;3314;1;3
14193;1039;1;2
14200;2577;1;3
14201;569;1;3
14203;1058;1;1
14206;1827;1;3
14211;2948;1;1
14213;810;1;1
14214;671;1;2
14220;276;1;3
14225;3672;1;1
14227;336;1;1
14238;2339;1;1
14254;1754;1;2
14257;3867;1;3
14265;1740;1;1
14269;3537;1;2
14271;2636;1;3
14272;2450;1;3
14274;1201;1;1
14285;3773;1;1
14288;649;1;1
14291;1390;1;3
14294;206;5;1
14296;3176;1;3
14300;210;4;2
14301;210;7;2
14305;1455;1;3
14306;1358;1;3
14308;1585;1;1
14313;3191;1;1
14323;756;1;2
14326;225;7;1
14332;560;1;2
14342;3121;1;1
14343;235;7;1
14345;236;4;2
14349;751;1;3
14350;327;1;3
14358;244;4;2
14364;1715;1;1
14365;248;5;3
14370;1013;1;3
14377;255;7;3
14382;258;5;1
14390;573;1;1
14391;889;1;1
14393;2375;1;1
14396;266;4;1
14397;3215;1;1
14398;2746;1;1
14408;3076;1;3
14410;2961;1;2
14413;276;4;2
14418;3369;1;2
14419;280;4;2
14420;280;7;2
14426;284;4;3
14429;1814;1;2
14441;3177;1;3
14442;266;1;3
14444;774;1;3
14447;296;5;3
14449;941;1;2
14452;3160;1;3
14458;2211;1;3
14462;305;7;1
14474;312;4;2
14478;1492;1;2
14480;1412;1;3
14482;3044;1;1
14489;3232;1;2
14490;2307;1;1
14492;2263;1;3
14497;1244;1;1
14503;938;1;3
14507;1650;1;1
14513;335;7;3
14514;2653;1;1
14515;336;5;1
14522;340;7;1
14523;1029;1;3
14527;1421;1;1
14528;344;4;1
14531;339;1;1
14533;3966;1;1
14535;348;5;3
14536;4070;1;1
14537;3461;1;1
14544;891;1;3
14547;355;7;1
14551;2698;1;2
14552;358;5;3
14554;3523;1;1
14556;360;7;2
14560;2716;1;3
14562;364;5;2
14566;366;4;3
14570;3556;1;1
14577;4003;1;1
14580;2176;1;1
14584;481;1;3
14585;2693;1;3
14590;380;7;1
14593;382;5;1
14594;2866;1;2
14597;3728;1;3
14601;4183;1;3
14603;388;4;1
14604;1818;1;2
14605;3015;1;2
14608;2205;1;2
14609;495;1;3
14612;2421;1;2
14613;394;5;2
14616;1403;1;2
14618;406;1;3
14619;2693;1;2
14625;3291;1;2
14626;3881;1;1
14628;3862;1;2
14629;1002;1;3
14630;404;5;3
14632;405;7;1
14633;374;1;3
14634;406;5;2
14636;1041;1;1
14642;844;1;3
14652;2979;1;2
14655;2820;1;2
14660;1712;1;2
14663;2736;1;2
14669;992;1;2
14674;430;4;3
14675;430;7;2
14678;432;5;3
14683;435;7;1
14684;3309;1;2
14685;436;4;3
14686;3019;1;1
14687;2631;1;3
14689;2891;1;3
14690;1281;1;3
14694;452;1;1
14696;2434;1;2
14700;445;7;3
14702;446;4;2
14704;1601;1;3
14705;448;5;1
14721;2523;1;3
14723;4043;1;3
14726;460;7;3
14729;462;4;3
14732;464;4;2
14735;3712;1;2
14746;472;5;1
14749;474;5;3
14751;475;7;3
14757;2718;1;3
14762;1865;1;2
14763;482;5;3
14766;484;4;1
14769;335;1;1
14777;490;7;3
14778;3082;1;2
14781;1186;1;1
14783;494;4;2
14785;495;7;1
14786;4029;1;1
14790;498;5;1
14791;1761;1;2
14795;393;1;1
14800;504;5;2
14802;505;7;1
14803;2700;1;1
14808;912;1;3
14809;3673;1;1
14819;515;7;3
14823;3954;1;2
14825;2462;1;3
14826;3940;1;3
14827;520;5;1
14828;520;7;1
14829;850;1;3
14833;2631;1;3
14839;931;1;3
14842;3402;1;1
14846;2987;1;2
14849;3944;1;2
14851;534;5;2
14856;3540;1;1
14861;540;5;3
14862;540;7;3
14869;2176;1;3
14871;1724;1;1
14877;2713;1;1
14881;1211;1;2
14884;3860;1;1
14886;1771;1;1
14888;3287;1;1
14889;556;5;1
14890;652;1;1
14894;1873;1;2
14895;560;5;3
14896;560;7;1
14899;562;5;1
14904;565;7;3
14905;1387;1;1
14915;2019;1;3
14918;1397;1;2
14921;575;7;2
14923;576;4;1
14925;1547;1;1
14926;578;4;3
14929;580;5;1
14930;580;7;2
14931;206;1;3
14932;578;1;2
14934;3967;1;2
14938;585;7;1
14947;590;7;3
14952;3340;1;3
14955;595;7;1
14960;598;5;3
14966;2474;1;2
14975;2139;1;1
14992;2074;1;3
14996;2176;1;2
15000;2852;1;1
15002;1339;1;1
15003;209;1;3
15007;1748;1;3
15009;1528;1;1
15012;3076;1;3
15013;3423;1;3
15014;630;4;2
15015;630;7;3
15016;2396;1;1
15021;634;5;1
15030;645;1;1
15034;3777;1;2
15039;2212;1;2
15040;645;7;1
15042;646;4;2
15043;1339;1;2
15052;652;4;1
15056;1297;1;1
15063;3021;1;1
15073;2698;1;2
15078;3756;1;1
15080;3027;1;3
15081;4071;1;2
15091;675;7;1
15093;676;5;3
15094;261;1;2
15097;2927;1;3
15101;3073;1;1
15108;685;7;2
15110;686;5;1
15118;2926;1;2
15121;1843;1;1
15122;2578;1;1
15126;3239;1;2
15127;696;4;2
15128;3232;1;1
15130;698;4;3
15131;1761;1;2
15132;2350;1;2
15136;3021;1;3
15149;412;1;2
15155;382;1;3
15163;2162;1;2
15166;1034;1;3
15170;3684;1;3
15171;722;4;3
15173;379;1;2
15174;724;4;3
15176;725;7;2
15177;2298;1;3
15180;2238;1;3
15185;730;7;1
15186;2834;1;2
15187;3789;1;1
15189;2878;1;3
15190;823;1;3
15191;734;4;1
15193;735;7;3
15194;1745;1;2
15203;1400;1;3
15204;618;1;3
15209;269;1;3
15211;2416;1;3
15212;746;4;2
15213;2555;1;3
15214;818;1;1
15225;754;5;3
15226;1257;1;2
15229;756;4;3
15231;3941;1;2
15234;3825;1;3
15235;760;5;3
15236;760;7;1
15239;762;4;3
15245;701;1;1
15247;2043;1;1
15255;721;1;1
15256;772;5;2
15258;2069;1;3
15259;774;4;1
15261;775;7;2
15263;776;5;1
15265;4164;1;1
15266;778;4;1
15267;1648;1;3
15271;806;1;2
15274;2961;1;2
15278;785;7;3
15280;786;4;1
15282;2777;1;1
15288;3118;1;2
15292;2119;1;3
15296;996;1;3
15302;340;1;3
15303;800;5;1
15304;800;7;2
15305;3573;1;1
15307;802;4;3
15314;806;5;3
15317;808;4;2
15318;4199;1;2
15321;810;7;3
15325;652;1;1
15326;3999;1;1
15327;814;5;3
15334;818;4;1
15335;1888;1;2
15344;824;4;2
15348;826;4;2
15350;435;1;1
15352;1777;1;3
15353;3055;1;2
15356;1883;1;2
15357;2994;1;2
15360;3465;1;2
15361;834;5;2
15363;835;7;3
15365;836;4;3
15367;2023;1;3
15369;2064;1;3
15376;1654;1;2
15378;844;4;3
15379;3689;1;1
15381;3013;1;2
15389;850;7;2
15391;312;1;1
15393;3842;1;3
15394;1694;1;2
15397;855;7;1
15398;3015;1;3
15403;3287;1;3
15404;2913;1;1
15405;860;5;3
15406;860;7;2
15407;2673;1;2
15408;1226;1;1
15411;4143;1;2
15412;864;4;3
15413;505;1;2
15414;865;7;3
15416;866;5;2
15417;3326;1;3
15419;868;5;1
15420;1300;1;1
15424;1158;1;3
15428;1873;1;3
15429;874;4;3
15431;875;7;1
15435;2494;1;1
15437;1568;1;2
15441;2899;1;3
15444;1906;1;2
15445;4070;1;1
15453;888;4;3
15455;2151;1;1
15459;2041;1;2
15464;3053;1;3
15465;895;7;1
15466;3890;1;3
15470;898;4;1
15471;3937;1;1
15473;900;5;3
15474;900;7;2
15475;1223;1;1
15476;2620;1;3
15478;1433;1;3
15484;906;5;2
15495;877;1;1
15498;413;1;3
15499;915;7;2
15500;2115;1;3
15505;2448;1;1
15516;925;7;2
15519;231;1;2
15520;2275;1;3
15521;928;4;3
15527;2987;1;2
15529;1353;1;2
15531;934;5;2
15533;935;7;2
15535;936;4;2
15539;1985;1;2
15544;1576;1;1
15551;3355;1;1
15552;946;4;3
15555;948;5;1
15556;1390;1;1
15563;2868;1;2
15565;954;5;1
15582;964;5;1
15585;3080;1;3
15586;966;5;3
15596;972;4;1
15604;944;1;1
15605;2870;1;3
15607;3607;1;2
15609;980;4;2
15610;980;7;2
15611;2079;1;2
15612;1987;1;1
15615;3989;1;2
15616;984;5;3
15617;942;1;1
15618;985;7;3
15621;2319;1;2
15622;4160;1;1
15628;2727;1;3
15630;992;5;3
15632;723;1;1
15633;994;5;3
15635;995;7;2
15637;996;5;1
15640;998;5;1
15641;2914;1;2
15648;701;1;2
15652;1005;7;1
15654;1006;4;1
15657;1008;5;3
15658;1310;1;2
15660;1010;4;3
15661;1010;7;2
15662;2801;1;3
15665;557;1;1
15667;1014;5;2
15668;2268;1;3
15671;1016;4;2
15673;3820;1;2
15685;503;1;2
15686;1025;7;1
15687;2439;1;3
15691;1028;5;2
15696;3411;1;2
15697;1650;1;3
15700;1312;1;3
15706;1801;1;2
15709;746;1;3
15714;3235;1;3
15732;1052;5;1
15736;1978;1;1
15738;337;1;2
15740;2953;1;1
15742;1058;4;2
15750;1017;1;2
15752;1064;4;1
15754;1065;7;1
15757;1352;1;1
15767;2231;1;2
15768;1663;1;1
15775;3508;1;3
15776;1078;4;1
15778;2357;1;3
15779;1080;5;3
15780;1080;7;2
15784;1034;1;3
15788;1085;7;3
15791;1521;1;3
15795;1024;1;3
15805;1095;7;1
15808;3302;1;3
15809;2559;1;2
15815;3020;1;3
15817;1102;5;1
15827;1108;5;2
15830;1110;5;2
15831;1110;7;2
15832;2448;1;1
15836;1700;1;1
15842;1605;1;1
15848;1120;7;2
15850;611;1;2
15853;2890;1;2
15858;1126;5;1
15862;2727;1;2
15863;1195;1;2
15866;754;1;3
15869;1190;1;1
15870;3261;1;3
15872;3215;1;3
15877;2771;1;3
15878;1138;4;1
15879;495;1;2
15880;3775;1;1
15884;2758;1;1
15885;1142;5;1
15891;1307;1;1
15894;2183;1;3
15896;3021;1;1
15897;3152;1;3
15898;1150;5;3
15899;1150;7;3
15905;1154;5;3
15906;2259;1;1
15911;201;1;2
15912;1158;4;1
15913;4172;1;2
15914;1585;1;1
15915;1160;5;2
15916;1160;7;1
15917;2227;1;2
15923;3073;1;3
15927;2275;1;1
15928;4078;1;1
15929;1168;5;3
15931;1201;1;3
15934;876;1;3
15939;1174;5;1
15941;1175;7;1
15944;3958;1;3
15946;1178;5;3
15949;1180;4;1
15950;1180;7;2
15951;1186;1;1
15952;1033;1;3
15954;1108;1;3
15957;2900;1;2
15960;1186;5;1
15962;1103;1;3
15966;1190;5;1
15967;1190;7;2
15970;1192;5;1
15972;1525;1;3
15975;1195;7;3
15976;3716;1;1
15977;1196;4;2
15979;2638;1;1
15980;1198;4;3
15981;899;1;2
15982;4092;1;2
15983;1200;4;3
15984;1200;7;1
15988;2966;1;2
15989;1289;1;3
15990;1204;4;2
15991;3291;1;1
15993;2624;1;2
15995;3188;1;1
15996;1220;1;3
16000;1210;5;2
16001;1210;7;1
16002;1574;1;1
16003;3099;1;3
16006;1403;1;1
16010;2181;1;2
16011;1216;4;1
16013;1410;1;3
16015;1097;1;2
16017;1220;5;1
16018;1220;7;2
16021;1222;5;3
16022;1201;1;1
16023;3594;1;2
16028;1226;5;3
16034;1230;4;3
16035;1230;7;3
16036;2342;1;1
16040;1433;1;2
16042;4136;1;1
16043;1235;7;2
16044;2212;1;3
16046;548;1;3
16049;4117;1;2
16054;2403;1;2
16057;331;1;2
16058;1244;5;3
16059;1091;1;2
16067;2346;1;2
16080;3914;1;3
16088;2732;1;3
16098;1801;1;1
16100;3008;1;3
16105;774;1;1
16107;1965;1;1
16108;3259;1;1
16113;1276;5;2
16114;1293;1;1
16115;1761;1;1
16121;2802;1;3
16122;3230;1;3
16124;1008;1;3
16128;1285;7;1
16129;228;1;3
16132;3302;1;3
16138;3539;1;3
16139;4136;1;1
16142;2775;1;1
16146;954;1;1
16151;331;1;2
16152;4122;1;3
16153;1300;5;1
16154;1300;7;2
16156;2170;1;3
16158;503;1;2
16160;1304;5;1
16161;2201;1;2
16163;3340;1;2
16165;2474;1;1
16167;1308;4;2
16171;1310;7;2
16173;4160;1;3
16177;1314;4;1
16179;1315;7;3
16182;1809;1;1
16183;3920;1;2
16189;2895;1;1
16192;3975;1;2
16195;2384;1;3
16197;1403;1;2
16202;2307;1;3
16207;1434;1;2
16208;1332;5;1
16210;1693;1;2
16212;3513;1;3
16214;2271;1;1
16218;1338;5;2
16223;3636;1;2
16226;686;1;1
16227;1002;1;2
16233;2282;1;3
16234;1912;1;3
16239;1350;7;1
16240;1039;1;3
16243;1317;1;2
16245;1354;5;2
16246;850;1;3
16248;2639;1;3
16252;1358;4;2
16256;1360;7;3
16258;3908;1;1
16259;1362;4;1
16263;2233;1;3
16264;1365;7;1
16267;2238;1;2
16268;4046;1;3
16280;2994;1;2
16284;3958;1;3
16285;1415;1;2
16289;1380;5;1
16290;1380;7;1
16292;598;1;2
16295;721;1;2
16297;2409;1;1
16298;1385;7;2
16301;1879;1;2
16302;2329;1;1
16303;1388;4;2
16304;209;1;3
16306;1390;4;2
16307;1390;7;2
16313;1394;5;3
16314;268;1;3
16319;3105;1;1
16324;1400;7;2
16325;3306;1;1
16326;3309;1;1
16328;2269;1;1
16333;2341;1;2
16338;2184;1;1
16339;2448;1;2
16341;1410;7;3
16347;1414;5;1
16349;1415;7;1
16350;2713;1;1
16353;2001;1;3
16356;432;1;2
16358;1420;7;1
16362;2143;1;2
16363;348;1;3
16365;1333;1;2
16367;1862;1;1
16368;1426;5;3
16369;1308;1;1
16370;1116;1;2
16376;2580;1;2
16379;2117;1;2
16380;2142;1;3
16381;1434;5;3
16382;1819;1;3
16385;1436;4;2
16386;3414;1;1
16390;1051;1;2
16391;1440;5;1
16392;1440;7;1
16395;1442;5;1
16400;1445;7;3
16407;1186;1;1
16409;1450;7;3
16411;2329;1;2
16412;1452;4;2
16413;4045;1;1
16417;1455;7;3
16423;2908;1;1
16425;1460;5;3
16426;1460;7;2
16430;1935;1;3
16431;3054;1;1
16433;3714;1;2
16435;3213;1;2
16443;1470;7;2
16444;2921;1;2
16454;1453;1;1
16459;1480;5;3
16460;1480;7;1
16464;3537;1;3
16476;1490;4;1
16477;1490;7;3
16481;3885;1;1
16492;4077;1;2
16502;1505;7;1
16504;1506;5;2
16505;336;1;2
16506;3831;1;2
16508;1261;1;2
16510;1510;4;2
16511;1510;7;3
16512;2677;1;2
16515;3573;1;1
16520;3018;1;1
16521;1516;4;3
16524;1518;4;3
16525;982;1;1
16534;1524;4;2
16536;1525;7;3
16537;2421;1;3
16540;437;1;1
16542;3728;1;1
16545;1530;7;3
16547;388;1;2
16550;3362;1;3
16553;1535;7;2
16556;1678;1;1
16558;1538;4;2
16563;2408;1;2
16564;1415;1;3
16566;925;1;1
16573;3181;1;2
16574;515;1;1
16576;746;1;3
16579;1550;7;1
16588;572;1;1
16590;3170;1;2
16593;3021;1;1
16598;1497;1;1
16603;633;1;3
16605;2052;1;3
16608;693;1;3
16609;1568;4;1
16611;1874;1;2
16614;3831;1;2
16619;1574;4;1
16623;1576;5;2
16625;2208;1;1
16629;1580;4;1
16630;1580;7;1
16631;3762;1;2
16638;1585;7;2
16650;1592;4;3
16654;2201;1;1
16656;3305;1;1
16663;1600;5;1
16664;1600;7;2
16672;1605;7;1
16678;2966;1;1
16683;2582;1;2
16685;1858;1;1
16692;3295;1;1
16693;630;1;3
16695;2895;1;3
16696;808;1;3
16702;996;1;1
16710;1033;1;1
16712;3763;1;3
16713;2591;1;2
16716;893;1;1
16717;3938;1;3
16719;3775;1;3
16721;1634;5;3
16724;4074;1;3
16733;2201;1;1
16736;2891;1;3
16738;1644;5;3
16740;1645;7;2
16741;2838;1;3
16743;2135;1;1
16744;2695;1;1
16745;1648;5;3
16748;1650;5;3
16749;1650;7;3
16750;3816;1;1
16751;313;1;2
16756;1031;1;1
16761;652;1;2
16763;412;1;2
16768;2314;1;2
16771;1195;1;3
16773;2162;1;1
16775;394;1;1
16778;1387;1;3
16779;1668;5;3
16780;221;1;3
16783;1670;7;2
16785;3265;1;3
16788;1193;1;1
16796;1678;4;2
16803;1682;5;1
16806;1684;5;2
16807;1860;1;2
16810;1686;5;3
16812;3239;1;3
16814;1285;1;1
16816;1690;5;3
16817;1690;7;1
16818;3020;1;1
16819;1987;1;3
16822;3788;1;2
16823;1694;5;2
16826;548;1;1
16829;2268;1;1
16833;1700;4;3
16834;1700;7;1
16835;3904;1;1
16836;3319;1;1
16839;2673;1;1
16842;1705;7;2
16843;1258;1;1
16846;2867;1;3
16849;2780;1;1
16850;1710;4;3
16851;1710;7;2
16854;1712;4;2
16857;1714;5;3
16859;1715;7;3
16860;3080;1;3
16862;4199;1;2
16863;4086;1;3
16864;1718;4;2
16865;4002;1;3
16870;3412;1;1
16874;1724;5;2
16877;3389;1;2
16886;495;1;3
16889;2605;1;2
16894;1745;1;2
16897;4124;1;3
16899;2536;1;1
16901;1740;4;3
16902;1740;7;3
16905;1742;5;2
16910;1745;7;1
16915;1748;5;3
16916;2375;1;1
16917;2517;1;1
16920;1763;1;1
16924;2567;1;1
16925;1754;5;1
16930;2946;1;2
16931;3656;1;1
16936;1760;7;3
16938;675;1;2
16940;1284;1;2
16944;1765;7;1
16945;3230;1;1
16946;1766;5;3
16948;2210;1;2
16955;2654;1;1
16958;1518;1;1
16960;1143;1;2
16961;1775;7;1
16965;2090;1;1
16972;1008;1;2
16976;1784;4;3
16977;3055;1;3
16979;2351;1;3
16980;1786;5;2
16982;2927;1;2
16988;1673;1;1
16992;3765;1;1
16996;4066;1;3
16998;548;1;1
17001;1869;1;1
17002;2350;1;3
17003;1800;4;3
17004;1800;7;1
17009;1809;1;2
17018;898;1;2
17019;2559;1;3
17022;2421;1;3
17025;1293;1;3
17026;2900;1;1
17027;1814;4;1
17028;235;1;2
17034;1818;4;1
17035;2233;1;3
17037;1820;5;2
17038;1820;7;3
17042;3203;1;3
17045;2777;1;2
17047;4092;1;1
17049;1126;1;1
17050;1113;1;3
17052;1160;1;3
17053;1107;1;3
17057;3249;1;2
17058;1832;5;3
17062;2536;1;3
17066;2838;1;2
17067;2732;1;1
17069;4178;1;3
17070;2079;1;3
17071;1840;4;2
17072;1840;7;1
17076;3570;1;1
17088;1850;4;1
17089;1850;7;1
17094;2852;1;1
17096;229;1;2
17101;633;1;2
17104;4119;1;1
17106;1860;7;1
17107;2700;1;1
17110;2713;1;2
17111;3140;1;1
17114;1865;7;3
17118;2677;1;3
17120;504;1;3
17125;1965;1;3
17145;4070;1;2
17151;3789;1;3
17152;404;1;2
17161;2146;1;2
17164;2585;1;1
17171;1409;1;2
17175;432;1;3
17176;1574;1;2
17177;1902;5;1
17181;1415;1;2
17184;1906;4;1
17186;1801;1;2
17189;2360;1;3
17192;3621;1;3
17196;1042;1;3
17197;1914;5;2
17204;1918;4;2
17205;1150;1;2
17208;1920;7;2
17209;4121;1;2
17219;494;1;1
17222;2878;1;1
17223;1518;1;1
17226;1281;1;1
17227;1827;1;2
17229;3324;1;3
17231;1934;4;2
17232;2036;1;1
17233;1935;7;3
17234;2486;1;1
17235;1936;4;3
17239;2086;1;3
17240;2868;1;3
17245;1942;4;2
17247;2996;1;3
17251;2859;1;2
17253;2897;1;2
17254;1538;1;2
17257;481;1;1
17262;1952;5;2
17266;2966;1;3
17269;1956;5;1
17270;1078;1;3
17273;2201;1;3
17274;2780;1;3
17284;1965;7;3
17286;1966;4;2
17288;1095;1;1
17298;1110;1;3
17299;1974;4;2
17300;2698;1;1
17301;1975;7;2
17302;436;1;3
17306;1978;4;1
17307;3457;1;3
17308;630;1;1
17313;1982;5;3
17314;1920;1;1
17315;2948;1;1
17318;1985;7;1
17322;3492;1;1
17325;2636;1;3
17327;1990;7;3
17328;3354;1;3
17334;3656;1;3
17341;2763;1;1
17344;2000;7;2
17349;3461;1;2
17352;2005;7;1
17353;2542;1;1
17359;1975;1;2
17360;2010;4;1
17361;2010;7;1
17362;3302;1;3
17363;3170;1;3
17365;3939;1;2
17371;2016;5;3
17375;2341;1;3
17376;2620;1;2
17382;3197;1;3
17387;992;1;1
17390;3429;1;3
17396;2751;1;2
17399;4092;1;1
17401;2034;4;2
17405;2036;4;1
17406;3212;1;1
17407;3145;1;2
17412;2040;7;3
17413;1058;1;2
17414;483;1;3
17418;2044;5;2
17421;2735;1;2
17427;2930;1;2
17431;1258;1;2
17432;2052;5;1
17436;2635;1;2
17450;4137;1;3
17451;436;1;1
17458;2238;1;3
17461;3444;1;2
17464;1138;1;2
17466;2072;4;1
17469;2074;5;1
17471;2075;7;3
17475;289;1;2
17478;3039;1;1
17481;936;1;1
17484;1120;1;2
17485;2019;1;1
17486;2084;4;3
17487;3228;1;3
17488;2085;7;2
17489;3680;1;1
17492;1814;1;2
17497;2090;7;2
17499;2124;1;1
17506;4164;1;1
17509;622;1;1
17520;2104;4;1
17526;2036;1;1
17530;2110;5;2
17531;2110;7;1
17532;2933;1;1
17535;573;1;3
17539;2115;7;2
17540;3456;1;3
17542;2802;1;2
17543;722;1;1
17546;735;1;2
17547;2120;4;1
17548;2120;7;1
17549;1138;1;3
17550;2103;1;2
17551;2122;5;3
17554;2124;4;3
17560;374;1;1
17562;2271;1;2
17563;899;1;3
17569;4167;1;1
17572;636;1;1
17573;2135;7;3
17576;2368;1;3
17580;3968;1;3
17585;2142;5;2
17590;2145;7;1
17592;2146;4;3
17593;3509;1;1
17594;912;1;1
17600;355;1;2
17603;1433;1;3
17611;3482;1;1
17614;595;1;3
17617;1429;1;3
17618;3539;1;2
17620;2447;1;1
17623;3203;1;3
17624;2165;7;2
17627;776;1;3
17628;2724;1;2
17632;2170;4;1
17633;2170;7;1
17638;2946;1;3
17640;1307;1;1
17651;2651;1;1
17652;2713;1;3
17655;3455;1;3
17656;2184;4;2
17657;1201;1;1
17659;2917;1;1
17661;1119;1;1
17665;3509;1;3
17668;3112;1;2
17669;2523;1;2
17670;2192;5;2
17672;3936;1;3
17677;2196;5;1
17678;1934;1;3
17683;2200;5;3
17684;2200;7;1
17688;3875;1;2
17692;2205;7;2
17695;1354;1;1
17696;2877;1;1
17699;1903;1;2
17700;2210;4;2
17701;2210;7;2
17702;3305;1;1
17704;2212;5;2
17706;3845;1;3
17710;1059;1;1
17712;3012;1;3
17726;2225;7;3
17730;1008;1;2
17733;888;1;1
17734;2230;4;2
17735;2230;7;1
17740;2416;1;1
17748;2238;5;2
17753;1412;1;1
17754;1634;1;1
17756;2937;1;2
17757;1154;1;2
17759;2448;1;3
17762;2246;5;2
17766;3219;1;1
17768;2250;5;1
17769;2250;7;1
17776;3831;1;2
17783;4141;1;3
17785;2260;4;2
17786;2260;7;2
17790;2677;1;3
17793;1902;1;2
17798;3980;1;1
17799;2268;4;2
17801;1051;1;3
17802;2270;4;2
17803;2270;7;1
